"","source","target","value"
"2","Spike_ACE2","AGT",0.939020454883575
"3","orf3a_VDAC1","GSN",0.9362713098526
"4","orf3a_HLA-G","COPB1",0.965775728225708
"5","orf3a_PCSK6","RCN3",0.976571142673492
"6","orf3a_FURIN","DSG3",0.951185882091522
"7","orf3a_TXNDC5","KRT40",0.962783992290497
"8","orf3a_TXNDC5","TRIM42",0.95358818769455
"16","E_PSMA3","PWWP2B",0.963786661624908
"18","E_PSMA3","SLMO1",0.938656568527222
"19","E_PSMA3","OSR2",0.930546700954437
"28","E_PSMB5","LSM1",0.933813452720642
"29","E_PSMA1","LZTS2",0.962267696857452
"30","E_PSMA1","PNMA5",0.963498830795288
"31","E_PSMA1","KCTD1",0.936360776424408
"33","E_PSMC2","PSMD5",0.925360262393951
"34","E_WWP2","IL6R",0.955223143100739
"37","E_PSMC6","PSMD9",0.957802891731262
"38","E_NEDD4","CASP6",0.928918182849884
"39","E_NEDD4","UBE2L3",0.921922922134399
"41","E_CDCP1","ST14",0.956531524658203
"42","E_UBASH3B","SLC25A48",0.96530556678772
"46","E_SMURF1","SASH3",0.941366016864777
"47","E_ATP2A1","SLN",0.961609184741974
"52","E_AXL","PLCG1",0.929224967956543
"54","M_ASF1B","TAF1",0.928924024105072
"55","M_HCFC1","MED25",0.976609230041504
"56","M_HCFC1","OGT",0.984402179718018
"67","nsp8_YWHAB","ALS2",0.928504109382629
"73","nsp8_CLIP2","CLASP2",0.960179805755615
"74","nsp8_TPI1","CFL1",0.929668426513672
"75","nsp8_VAPB","USP20",0.96799236536026
"80","orf9b_KPNA5","CDKN1B",0.960146486759186
"81","orf9b_KPNA3","RCC1",0.952268183231354
"82","orf9b_KPNA4","CYHR1",0.958475112915039
"86","orf9b_MAGED1","UNC5A",0.927297413349152
"87","orf9b_MAGED1","ZNF488",0.941762566566467
"88","orf9b_MAGED1","RHOXF2",0.932049751281738
"91","orf9b_USHBP1","FBF1",0.962234377861023
"92","orf9b_USHBP1","FAM110A",0.954877018928528
"93","orf9b_USHBP1","ZNF483",0.920783042907715
"94","orf9b_USHBP1","C1orf216",0.935075163841248
"95","orf9b_USHBP1","FATE1",0.969002246856689
"96","orf9b_USHBP1","C6orf165",0.968433856964111
"97","orf9b_USHBP1","GPSM1",0.929950952529907
"98","orf9b_USHBP1","ANKRD36BP1",0.945256590843201
"99","orf9b_USHBP1","RNF20",0.949694991111755
"100","orf9b_USHBP1","KLC4",0.931827306747437
"102","orf9b_USHBP1","GOLGA8EP",0.954828500747681
"103","orf9b_USHBP1","GATAD2B",0.943544387817383
"105","orf9b_USHBP1","FLJ32679",0.929264903068542
"108","nsp14_HOMER3","PKN1",0.967519402503967
"109","nsp14_HOMER3","POM121",0.959070563316345
"114","nsp14_HNRNPF","HNRNPUL1",0.936020791530609
"122","nsp14_EEF1A2","CHRM4",0.965069055557251
"123","nsp14_PCBP2","QKI",0.95908534526825
"128","nsp14_PPP1CA","PPP1R15B",0.959533214569092
"129","nsp14_PPP1CA","NOM1",0.948275446891785
"130","nsp14_PPP1CA","C9orf75",0.941457688808441
"131","nsp14_PPP1CA","CASC5",0.941033005714417
"135","nsp7_TRAF1","TBC1D16",0.953217506408691
"151","nsp7_TNFAIP3","IKBKG",0.952290654182434
"179","nsp7_LYN","PRKCQ",0.928454279899597
"180","nsp7_LYN","HNRNPK",0.926100671291351
"197","nsp7_NCK2","HOMEZ",0.928424656391144
"198","nsp7_NCK2","LZTS2",0.966218411922455
"199","nsp7_NCK2","LNX1",0.927850008010864
"200","nsp7_NCK2","TRIM41",0.930551946163177
"201","nsp7_TEC","DOK1",0.962098479270935
"202","nsp7_TEC","PLCG1",0.953939735889435
"203","nsp7_BLK","FCGR2B",0.960546374320984
"204","nsp7_YES1","DOK1",0.934215664863586
"205","nsp7_YES1","RASA1",0.945095121860504
"206","nsp7_YES1","PAK2",0.934795081615448
"214","nsp7_ITK","LCP2",0.953309297561646
"226","nsp7_PIK3R3","PIK3CA",0.973630130290985
"227","nsp7_PIK3R2","RINT1",0.94640839099884
"228","nsp7_PIK3R2","SOS1",0.947279691696167
"229","nsp7_PIK3R2","ERBB4",0.939539074897766
"230","nsp7_ITSN1","UNC119",0.976330399513245
"231","nsp7_ITSN1","SOS1",0.977582812309265
"232","nsp7_GRB2","SHKBP1",0.92291396856308
"235","E_BRD2","E2F2",0.957792937755585
"236","M_STOM","DVL3",0.963614344596863
"237","M_REEP6","FAM160A2",0.952942788600922
"238","M_REEP6","TENC1",0.956129014492035
"240","M_RTN4","SYT16",0.926258444786072
"242","M_AKAP8L","EMD",0.977854013442993
"243","M_AKAP8L","TMPO",0.982933640480042
"244","N_PABPC1","PAIP2",0.962244927883148
"245","N_CSNK2A2","HDAC1",0.93740314245224
"247","N_CSNK2B","CSNK2A1",0.93179726600647
"248","N_SNIP1","ZMYM2",0.949834585189819
"250","nsp1_POLA1","RB1",0.945392966270447
"252","nsp10_GFER","ASCC2",0.969693660736084
"256","nsp12_SLU7","LZTS2",0.978862285614014
"263","nsp13_RDX","CPNE1",0.969955086708069
"264","nsp13_TLE1","CDKN2C",0.960932016372681
"265","nsp13_TLE1","SIX3",0.962619662284851
"266","nsp13_TLE1","PEX2",0.964371502399445
"267","nsp13_TLE1","TK1",0.960687518119812
"270","nsp13_MIPOL1","FBF1",0.978542864322662
"271","nsp13_MIPOL1","TCHP",0.933300852775574
"272","nsp13_MIPOL1","DIEXF",0.962510228157043
"273","nsp13_MIPOL1","BEX2",0.931419849395752
"274","nsp13_MIPOL1","EAF1",0.929638803005219
"275","nsp13_GCC1","KIAA0753",0.961498975753784
"276","nsp13_AKAP9","WAC",0.928665518760681
"278","nsp13_C1orf50","AHCY",0.945201754570007
"279","nsp13_C1orf50","WDYHV1",0.961268424987793
"280","nsp15_ARF6","ATP6V0C",0.952662885189056
"281","nsp15_ARF6","AP1B1",0.939658522605896
"282","nsp15_RNF41","C1orf109",0.952165007591248
"283","nsp4_IDE","APP",0.944920659065247
"285","nsp5_HDAC2","CSNK2A1",0.93740314245224
"286","nsp5_HDAC2","SMYD1",0.946112155914307
"287","nsp7_RALA","PPP2R1B",0.946677029132843
"289","nsp7_RAB10","9-Sep",0.929407119750977
"296","nsp7_TOR1AIP1","LMNA",0.972172498703003
"297","nsp8_MPHOSPH10","IMP4",0.95296174287796
"298","nsp8_EXOSC8","LSM1",0.936683654785156
"299","nsp8_EXOSC8","EXOSC9",0.921910643577576
"303","nsp8_AATF","CHEK2",0.931344985961914
"304","nsp8_EXOSC2","MPP6",0.978583097457886
"305","nsp9_GTF2F2","CREB1",0.955067038536072
"306","nsp9_NUP214","XPO1",0.938150346279144
"308","nsp9_NUP62","KPNB1",0.927561521530151
"309","orf10_CUL2","NEDD8",0.957499444484711
"310","orf10_MAP7D1","COPS6",0.962206542491913
"311","orf10_MAP7D1","GPRASP1",0.95732307434082
"314","orf3a_TRIM59","NRM",0.940411806106567
"315","orf6_NUP98","TNPO1",0.964183628559113
"316","orf6_RAE1","BUB1",0.929844617843628
"317","orf8_TOR1A","TOR1B",0.952390432357788
"318","orf8_PLAT","SERPINI1",0.960133194923401
"319","orf8_ITGB1","HSPG2",0.964683294296265
"320","orf8_ITGB1","NF2",0.968866229057312
"323","orf8_OS9","TRPV4",0.948738217353821
"324","orf8_NGLY1","TRAFD1",0.979707419872284
"325","orf8_NEU1","GLB1",0.9728182554245
"326","orf8_SMOC1","NOTCH2NL",0.977554738521576
"327","orf8_SMOC1","KRTAP10-3",0.980966806411743
"331","orf9b_CHMP2A","EIF2B5",0.959722816944122
"333","orf9c_F2RL1","F2",0.973269760608673
"334","orf9c_F2RL1","CAPN1",0.964219629764557
"335","orf9c_SCAP","INSIG2",0.954266428947449
"336","orf9c_PIGS","KRT40",0.930090665817261
"337","orf9c_PIGS","NOTCH2NL",0.949442148208618
"338","orf9c_PIGS","KRTAP10-3",0.971511006355286
